"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","SENSORTYPE_SERIALID"
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","CRT","50,0.0,0.0",
"3","2009-12-02 13:55:00+01:00","9999-01-01 00:00:00","TC+CRT","0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0+50,0.0,0.0",
