"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"sdivoltage","sdivoltage","Voltage",""
"sysvoltage","sysvoltage","Voltage",""
"current","current","Current",""
"msptemperature","msptemperature","MspTemperature",""
"temperature","temperature","Sht21Temperature",""
"humidity","humidity","Sht21Humidity",""
