"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"a1","nctt_dx1","dilatation","dx"
"a2","nctt_t1","thermistor44006","cal"
"a3","nctt_t2","thermistor44006","cal"
