"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"a0","tttt_t1","thermistor44006",""
"a1","tttt_t2","thermistor44006",""
"a2","tttt_t3","thermistor44006",""
"a3","tttt_t4","thermistor44006",""
