"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"sdivoltage","sdivoltage","Multiplication",""
"sysvoltage","sysvoltage","Multiplication",""
"current","current","Multiplication",""
"msptemperature","msptemperature","Multiplication",""
"temperature","temperature","Multiplication",""
"humidity","humidity","Multiplication",""
