"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"payload_sdivoltage","sdivoltage","Voltage",""
"payload_sysvoltage","sysvoltage","Voltage",""
"payload_current","current","Current",""
"payload_msptemperature","msptemperature","MspTemperature",""
"payload_temperature","temperature","Sht11Temperature",""
"payload_humidity","humidity","Sht11Humidity","payload_temperature"
