"SIGNAL_NAME","PHYSICAL_SIGNAL","CONVERSION","INPUT"
"a1","crt_dx1","dilatation","dx"
"a2","crt_t1","thermistor44006","cal"
"a3","crt_t2","thermistor44006","cal"
