# vsname:imis_fka_2
# query:select rh, ta, rswr, pk, timed from imis_fka_2 where  timed > 1420066800000 and  timed <= 1428876000000 order by timed desc 
# altitude:2425
# name:imis_fka_2
# latitude:46.5766808291
# exposition:N/A
# longitude:8.4213608918
# geographical:Furka, Galenbodmen
# slope:0
# description:imis station fka_2
# time,rh,ta,rswr
# ,%,°C,W/m²
1421649000000,58.3,-11.3,13.0
1421650800000,56.0,-11.1,38.0
1421652600000,50.3,-10.5,66.0
1421654400000,39.0,-9.3,123.0
1421656200000,51.3,-8.2,261.0
1421658000000,61.3,-8.4,333.0
1421659800000,60.7,-9.2,235.0
1421661600000,62.3,-8.8,286.0
1421663400000,64.0,-8.2,308.0
1421665200000,58.3,-7.7,278.0
1421667000000,68.0,-8.4,221.0
1421668800000,68.3,-7.9,252.0
1421670600000,67.0,-7.6,207.0
1421672400000,64.3,-7.6,223.0
1421674200000,66.7,-8.8,151.0
1421676000000,69.7,-9.0,92.0
1421677800000,69.7,-9.3,43.0
1421679600000,72.7,-9.8,29.0
1421681400000,72.3,-9.7,9.0
1421683200000,75.3,-10.3,3.0
1421685000000,76.3,-10.4,4.0
1421686800000,77.0,-10.3,5.0
1421688600000,78.7,-10.7,3.0
1421690400000,80.0,-11.1,4.0
1421692200000,81.0,-11.3,3.0
1421694000000,84.7,-11.6,4.0
1421695800000,87.0,-11.7,6.0
1421697600000,86.7,-11.7,7.0
1421699400000,87.0,-11.5,5.0
1421701200000,88.7,-11.5,7.0
1421703000000,88.0,-11.2,5.0
1421704800000,89.3,-10.9,6.0
1421706600000,92.3,-11.0,5.0
1421708400000,89.3,-10.6,7.0
1421710200000,92.0,-10.9,4.0
1421712000000,93.3,-10.9,5.0
1421713800000,93.0,-10.9,6.0
1421715600000,93.0,-10.8,6.0
1421717400000,94.0,-11.0,4.0
1421719200000,94.0,-10.8,4.0
1421721000000,93.0,-10.7,5.0
1421722800000,93.3,-10.7,4.0
1421724600000,93.3,-10.6,4.0
1421726400000,93.0,-10.5,5.0
1421728200000,93.0,-10.4,4.0
1421730000000,93.0,-10.5,4.0
1421731800000,92.3,-10.3,4.0
1421733600000,91.0,-10.3,6.0
1421735400000,92.0,-10.7,16.0
1421737200000,92.3,-10.8,38.0
1421739000000,87.3,-10.3,85.0
1421740800000,86.7,-10.3,103.0
1421742600000,84.0,-9.9,248.0
1421744400000,78.7,-9.0,337.0
1421746200000,74.0,-8.2,357.0
1421748000000,78.3,-9.0,308.0
1421749800000,69.0,-6.9,354.0
1421751600000,68.3,-7.2,417.0
1421753400000,74.0,-8.2,340.0
1421755200000,72.0,-7.5,246.0
1421757000000,68.7,-6.9,384.0
1421758800000,77.0,-8.7,238.0
1421760600000,77.3,-8.7,172.0
1421762400000,80.3,-9.1,143.0
1421764200000,86.3,-10.4,47.0
1421766000000,85.3,-10.4,25.0
1421767800000,86.3,-10.7,10.0
1421769600000,84.7,-11.0,4.0
1421771400000,84.3,-10.8,4.0
1421773200000,84.7,-10.7,4.0
1421775000000,86.7,-10.7,4.0
1421776800000,87.7,-11.0,3.0
1421778600000,87.7,-11.3,3.0
1421780400000,86.7,-11.3,3.0
1421782200000,87.0,-11.3,3.0
1421784000000,86.7,-11.3,4.0
1421785800000,86.0,-11.3,4.0
1421787600000,85.0,-11.1,3.0
1421789400000,84.7,-10.7,5.0
1421791200000,82.0,-10.7,5.0
1421793000000,83.7,-10.7,3.0
1421794800000,83.7,-10.5,3.0
1421796600000,81.7,-10.4,3.0
1421798400000,81.7,-10.1,4.0
1421800200000,82.3,-9.7,4.0
1421802000000,82.3,-9.6,4.0
1421803800000,76.0,-8.6,6.0
1421805600000,73.0,-8.8,7.0
1421807400000,73.0,-8.2,7.0
1421809200000,72.0,-8.2,6.0
1421811000000,67.3,-8.4,7.0
1421812800000,65.0,-8.1,6.0
1421814600000,66.0,-7.6,8.0
1421816400000,65.7,-7.8,7.0
1421818200000,68.0,-7.7,8.0
1421820000000,68.0,-7.7,9.0
1421821800000,67.0,-7.8,20.0
1421823600000,66.0,-7.8,49.0
1421825400000,67.0,-7.9,119.0
1421827200000,67.0,-7.9,165.0
1421829000000,64.3,-7.7,277.0
1421830800000,64.0,-7.7,297.0
1421832600000,68.7,-7.8,244.0
1421834400000,67.3,-7.2,277.0
1421836200000,71.7,-7.4,236.0
1421838000000,76.7,-7.6,263.0
1421839800000,75.7,-6.7,246.0
1421841600000,82.0,-6.9,209.0
1421843400000,86.7,-7.2,183.0
1421845200000,85.0,-7.0,164.0
1421847000000,84.0,-7.0,96.0
1421848800000,87.3,-7.1,71.0
1421850600000,82.7,-6.8,55.0
1421852400000,85.7,-7.2,26.0
1421854200000,85.3,-7.3,9.0
1421856000000,88.0,-7.4,6.0
1421857800000,87.3,-7.3,7.0
1421859600000,84.0,-6.8,7.0
1421861400000,89.3,-7.3,7.0
1421863200000,84.7,-6.9,5.0
1421865000000,86.0,-7.0,6.0
1421866800000,95.7,-7.7,4.0
1421868600000,94.7,-7.6,5.0
1421870400000,93.7,-7.6,6.0
1421872200000,93.0,-7.5,6.0
1421874000000,89.7,-7.1,5.0
1421875800000,88.7,-7.0,4.0
1421877600000,91.0,-7.2,4.0
1421879400000,94.7,-7.4,4.0
1421881200000,91.0,-7.2,4.0
1421883000000,87.7,-6.9,5.0
1421884800000,89.3,-7.1,6.0
1421886600000,85.0,-6.7,6.0
1421888400000,86.0,-6.9,7.0
1421890200000,88.7,-7.1,6.0
1421892000000,89.0,-7.0,7.0
1421893800000,82.7,-6.7,7.0
1421895600000,78.3,-6.5,9.0
1421897400000,77.7,-6.5,9.0
1421899200000,80.0,-6.7,8.0
1421901000000,79.0,-6.6,8.0
1421902800000,83.3,-6.9,7.0
1421904600000,88.0,-7.2,8.0
1421906400000,83.3,-7.0,10.0
1421908200000,82.7,-6.9,19.0
1421910000000,77.7,-6.7,41.0
1421911800000,77.3,-6.7,101.0
1421913600000,74.3,-6.6,130.0
1421915400000,75.0,-6.7,173.0
1421917200000,74.3,-6.6,196.0
1421919000000,74.3,-6.4,238.0
1421920800000,73.3,-6.3,246.0
1421922600000,76.3,-6.4,290.0
1421924400000,74.0,-6.0,375.0
1421926200000,79.7,-6.5,305.0
1421928000000,78.7,-6.6,237.0
1421929800000,74.0,-6.6,308.0
1421931600000,66.3,-6.0,339.0
1421933400000,64.7,-6.1,277.0
1421935200000,64.3,-6.3,204.0
1421937000000,67.3,-7.1,110.0
1421938800000,67.3,-7.3,36.0
1421940600000,64.0,-7.2,14.0
1421942400000,62.7,-7.3,9.0
1421944200000,62.3,-7.4,8.0
1421946000000,66.3,-7.7,4.0
1421947800000,68.3,-8.1,6.0
1421949600000,70.0,-8.2,4.0
1421951400000,71.0,-8.3,6.0
1421953200000,75.3,-8.2,5.0
1421955000000,75.3,-7.8,7.0
1421956800000,76.0,-8.1,8.0
1421958600000,72.7,-7.8,8.0
1421960400000,69.7,-7.8,8.0
1421962200000,67.7,-7.7,8.0
1421964000000,67.0,-7.7,8.0
1421965800000,62.7,-7.6,8.0
1421967600000,60.0,-7.7,7.0
1421969400000,62.7,-8.2,6.0
1421971200000,63.0,-8.0,8.0
1421973000000,67.0,-8.1,4.0
1421974800000,68.0,-8.4,3.0
1421976600000,72.7,-8.4,4.0
1421978400000,74.7,-8.3,4.0
1421980200000,76.7,-8.9,4.0
1421982000000,78.7,-9.3,3.0
1421983800000,78.7,-9.4,4.0
1421985600000,80.0,-9.3,5.0
1421987400000,83.3,-9.2,5.0
1421989200000,83.0,-9.2,4.0
1421991000000,82.7,-9.1,4.0
1421992800000,81.3,-8.8,5.0
1421994600000,86.3,-9.1,12.0
1421996400000,86.7,-9.0,26.0
1421998200000,78.7,-7.8,58.0
1422000000000,77.0,-7.5,106.0
1422001800000,76.0,-7.2,168.0
1422003600000,73.7,-7.0,157.0
1422005400000,70.0,-6.6,223.0
1422007200000,63.7,-5.8,282.0
1422009000000,82.0,-8.7,253.0
1422010800000,71.0,-6.9,264.0
1422012600000,66.0,-6.3,274.0
1422014400000,76.3,-7.7,284.0
1422016200000,73.0,-7.1,335.0
1422018000000,59.3,-5.5,312.0
1422019800000,67.0,-7.1,297.0
1422021600000,77.3,-8.5,219.0
1422023400000,85.3,-9.6,98.0
1422025200000,75.7,-8.7,48.0
1422027000000,85.3,-10.0,12.0
1422028800000,76.3,-8.7,5.0
1422030600000,86.7,-10.2,4.0
1422032400000,86.7,-10.5,5.0
1422034200000,82.7,-10.5,5.0
1422036000000,88.0,-11.1,5.0
1422037800000,85.0,-10.9,5.0
1422039600000,80.7,-10.5,6.0
1422041400000,71.0,-9.1,5.0
1422043200000,71.3,-9.5,5.0
1422045000000,71.7,-9.2,6.0
1422046800000,70.7,-9.7,7.0
1422048600000,85.7,-12.2,5.0
1422050400000,80.7,-10.9,5.0
1422052200000,71.3,-10.1,7.0
1422054000000,70.3,-9.7,6.0
1422055800000,64.0,-8.3,7.0
1422057600000,59.7,-7.4,8.0
1422059400000,60.7,-8.1,7.0
1422061200000,64.7,-9.1,3.0
1422063000000,66.0,-9.3,4.0
1422064800000,66.7,-9.0,7.0
1422066600000,69.0,-9.6,6.0
1422068400000,73.0,-10.6,5.0
1422070200000,74.3,-10.5,7.0
1422072000000,75.7,-10.2,8.0
1422073800000,79.7,-10.5,8.0
1422075600000,75.3,-10.4,7.0
1422077400000,65.3,-9.5,6.0
1422079200000,71.3,-10.1,8.0
1422081000000,77.3,-10.6,19.0
1422082800000,73.7,-10.3,33.0
1422084600000,66.7,-9.8,164.0
1422086400000,40.7,-7.3,292.0
1422088200000,38.0,-6.7,353.0
1422090000000,24.7,-6.3,400.0
1422091800000,20.7,-6.2,428.0
1422093600000,23.7,-6.4,328.0
1422095400000,21.0,-6.8,281.0
1422097200000,19.0,-6.7,443.0
1422099000000,24.7,-7.1,408.0
1422100800000,25.7,-7.5,257.0
1422102600000,24.7,-7.5,203.0
1422104400000,24.7,-7.9,155.0
1422106200000,54.0,-11.2,61.0
1422108000000,33.7,-9.2,71.0
1422109800000,60.7,-11.5,58.0
1422111600000,93.3,-13.6,29.0
1422113400000,93.3,-13.5,11.0
1422115200000,92.0,-13.4,5.0
1422117000000,92.0,-13.4,5.0
1422118800000,92.0,-13.4,5.0
1422120600000,92.0,-13.4,5.0
1422122400000,92.0,-13.4,5.0
1422124200000,92.0,-13.5,5.0
1422126000000,92.0,-13.4,5.0
1422127800000,92.0,-13.4,5.0
1422129600000,92.0,-13.3,5.0
1422131400000,92.0,-13.2,5.0
1422133200000,92.0,-13.1,4.0
1422135000000,92.0,-13.0,5.0
1422136800000,92.0,-13.0,5.0
1422138600000,92.0,-12.9,5.0
1422140400000,92.0,-12.6,6.0
1422142200000,90.7,-12.5,5.0
1422144000000,91.3,-12.8,4.0
1422145800000,91.7,-13.2,4.0
1422147600000,92.0,-13.5,4.0
1422149400000,92.0,-13.4,4.0
1422151200000,92.0,-13.6,5.0
1422153000000,92.0,-13.6,5.0
1422154800000,92.0,-13.6,5.0
1422156600000,92.0,-13.5,5.0
1422158400000,92.0,-13.5,5.0
1422160200000,92.0,-13.5,5.0
1422162000000,92.0,-13.5,5.0
1422163800000,92.0,-13.5,5.0
1422165600000,92.0,-13.5,6.0
1422167400000,92.0,-13.5,18.0
1422169200000,92.0,-13.3,44.0
1422171000000,92.0,-13.2,80.0
1422172800000,91.0,-13.1,110.0
1422174600000,91.0,-12.9,202.0
1422176400000,90.3,-11.5,388.0
1422178200000,88.7,-10.4,516.0
1422180000000,87.7,-11.1,484.0
1422181800000,87.3,-10.7,472.0
1422183600000,87.3,-11.6,370.0
1422185400000,87.3,-11.9,358.0
1422187200000,87.3,-12.3,281.0
1422189000000,89.7,-13.2,228.0
1422190800000,90.7,-13.5,176.0
1422192600000,92.0,-14.1,104.0
1422194400000,92.0,-14.3,68.0
1422196200000,92.0,-14.5,43.0
1422198000000,92.0,-14.8,26.0
1422199800000,92.0,-15.1,10.0
1422201600000,91.7,-15.3,4.0
1422203400000,91.7,-15.4,4.0
1422205200000,91.0,-15.5,4.0
1422207000000,91.3,-15.5,5.0
1422208800000,91.0,-15.8,4.0
1422212400000,90.7,-15.6,5.0
1422214200000,90.7,-15.7,4.0
1422216000000,90.7,-15.8,4.0
1422217800000,90.7,-15.7,5.0
1422219600000,90.3,-15.6,5.0
1422221400000,90.0,-15.4,5.0
1422223200000,88.3,-15.1,5.0
1422225000000,86.0,-14.8,5.0
1422226800000,85.0,-14.6,5.0
1422228600000,77.7,-14.7,3.0
1422230400000,72.0,-14.6,3.0
1422232200000,69.0,-14.3,4.0
1422234000000,57.3,-13.8,3.0
1422235800000,56.3,-13.8,3.0
1422237600000,52.7,-13.7,3.0
1422239400000,53.3,-13.8,4.0
1422241200000,53.7,-13.9,6.0
1422243000000,60.7,-15.0,5.0
1422244800000,61.7,-14.7,5.0
1422246600000,58.7,-14.0,7.0
1422248400000,57.3,-13.2,8.0
1422250200000,58.0,-13.2,7.0
1422252000000,64.3,-14.1,6.0
1422253800000,72.3,-14.0,26.0
1422255600000,72.3,-13.5,57.0
1422257400000,73.7,-13.3,84.0
1422259200000,71.0,-13.0,124.0
1422261000000,68.3,-12.6,170.0
1422262800000,65.7,-12.2,189.0
1422264600000,66.0,-11.9,231.0
1422266400000,67.7,-11.4,244.0
1422268200000,74.0,-11.7,252.0
1422270000000,78.0,-11.8,236.0
1422271800000,82.7,-11.7,246.0
1422273600000,84.7,-11.8,273.0
1422275400000,86.3,-11.6,229.0
1422277200000,77.3,-8.6,192.0
1422279000000,74.0,-7.7,147.0
1422280800000,72.3,-6.9,109.0
1422282600000,71.3,-6.4,67.0
1422284400000,69.3,-6.0,36.0
1422286200000,71.0,-6.2,17.0
1422288000000,71.0,-6.4,10.0
1422289800000,69.7,-6.5,9.0
1422291600000,82.0,-8.2,9.0
1422293400000,81.7,-8.3,8.0
1422295200000,83.7,-8.7,9.0
1422297000000,86.0,-8.9,9.0
1422298800000,86.0,-8.5,8.0
1422300600000,84.7,-7.7,8.0
1422302400000,85.3,-7.4,8.0
1422304200000,88.7,-7.5,8.0
1422306000000,86.0,-7.3,8.0
1422307800000,86.7,-7.5,8.0
1422309600000,86.0,-7.6,8.0
1422311400000,84.7,-7.4,8.0
1422313200000,84.0,-6.9,8.0
1422315000000,84.7,-7.0,7.0
1422316800000,85.3,-7.0,7.0
1422318600000,90.0,-7.9,6.0
1422320400000,93.7,-8.4,6.0
1422322200000,94.0,-8.4,5.0
1422324000000,94.0,-8.6,5.0
1422325800000,91.0,-7.9,6.0
1422327600000,94.0,-9.1,4.0
1422329400000,94.0,-9.3,5.0
1422331200000,94.0,-8.8,6.0
1422333000000,94.0,-9.3,4.0
1422334800000,94.0,-9.4,5.0
1422336600000,94.0,-9.7,5.0
1422338400000,94.0,-9.9,6.0
1422340200000,93.7,-10.1,23.0
1422342000000,92.3,-9.8,81.0
1422343800000,87.0,-9.2,175.0
1422345600000,83.7,-9.2,271.0
1422347400000,80.7,-9.2,333.0
1422349200000,77.0,-9.2,359.0
1422351000000,73.7,-9.4,396.0
1422352800000,72.7,-9.7,327.0
1422354600000,70.7,-9.9,374.0
1422356400000,69.3,-10.1,356.0
1422358200000,69.3,-10.4,332.0
1422360000000,68.0,-10.5,328.0
1422361800000,70.3,-10.8,310.0
1422363600000,61.0,-10.8,247.0
1422365400000,69.0,-11.2,266.0
1422367200000,65.7,-11.3,153.0
1422369000000,63.3,-11.3,112.0
1422370800000,81.0,-12.1,48.0
1422372600000,74.0,-11.7,13.0
1422374400000,75.7,-12.0,8.0
1422376200000,68.7,-11.7,8.0
1422378000000,69.3,-11.8,7.0
1422379800000,67.3,-11.8,8.0
1422381600000,65.7,-11.8,7.0
1422383400000,67.3,-11.9,7.0
1422385200000,69.3,-12.0,8.0
1422387000000,83.7,-12.6,6.0
1422388800000,81.3,-12.5,7.0
1422390600000,74.7,-12.2,8.0
1422392400000,74.7,-12.4,8.0
1422394200000,71.3,-12.3,8.0
1422396000000,67.0,-12.3,8.0
1422397800000,65.7,-12.3,8.0
1422399600000,67.3,-12.4,8.0
1422401400000,85.3,-13.2,5.0
1422403200000,91.7,-13.8,4.0
1422405000000,91.7,-13.7,5.0
1422406800000,92.0,-13.8,6.0
1422408600000,92.0,-13.7,6.0
1422410400000,91.7,-14.1,5.0
1422412200000,91.0,-14.9,3.0
1422414000000,91.3,-14.5,4.0
1422415800000,91.0,-15.3,4.0
1422417600000,91.0,-15.5,3.0
1422419400000,91.0,-15.2,5.0
1422421200000,91.0,-15.3,8.0
1422423000000,91.0,-15.2,7.0
1422424800000,91.0,-15.1,10.0
1422426600000,91.0,-15.2,19.0
1422428400000,90.3,-15.0,37.0
1422430200000,87.0,-14.8,72.0
1422432000000,72.7,-13.5,204.0
1422433800000,61.0,-12.0,341.0
1422435600000,58.7,-11.5,353.0
1422437400000,59.0,-11.4,403.0
1422439200000,57.7,-10.6,411.0
1422441000000,56.0,-9.2,383.0
1422442800000,63.0,-10.5,373.0
1422444600000,58.3,-10.9,401.0
1422446400000,59.7,-10.2,291.0
1422448200000,64.0,-10.7,383.0
1422450000000,69.0,-10.6,262.0
1422451800000,72.3,-10.9,157.0
1422453600000,73.7,-11.0,125.0
1422455400000,74.7,-11.2,133.0
1422457200000,77.7,-10.7,59.0
1422459000000,81.7,-10.2,21.0
1422460800000,83.7,-9.7,9.0
1422462600000,84.7,-9.7,9.0
1422464400000,83.0,-9.5,9.0
1422466200000,82.0,-9.4,9.0
1422468000000,81.3,-9.5,9.0
1422469800000,82.3,-10.1,9.0
1422471600000,84.0,-10.4,9.0
1422473400000,82.0,-9.8,9.0
1422475200000,78.0,-8.8,9.0
1422477000000,78.3,-7.9,9.0
1422478800000,81.7,-7.9,9.0
1422480600000,85.0,-7.8,9.0
1422482400000,90.3,-7.8,9.0
1422484200000,93.0,-7.8,9.0
1422486000000,91.7,-7.7,9.0
1422487800000,90.0,-7.2,9.0
1422489600000,90.7,-7.1,9.0
1422491400000,91.3,-7.1,9.0
1422493200000,93.0,-7.1,9.0
1422495000000,92.7,-7.1,9.0
1422496800000,93.0,-7.5,9.0
1422498600000,92.3,-7.4,9.0
1422500400000,91.3,-7.5,9.0
1422502200000,91.0,-7.7,9.0
1422504000000,89.7,-7.8,9.0
1422505800000,91.7,-7.8,9.0
1422507600000,92.0,-8.1,9.0
1422509400000,90.3,-8.4,8.0
1422511200000,89.7,-8.7,9.0
1422513000000,93.0,-10.0,18.0
1422514800000,92.3,-9.9,41.0
1422516600000,91.7,-9.4,68.0
1422518400000,88.7,-9.1,105.0
1422520200000,86.3,-9.1,133.0
1422522000000,87.7,-9.2,151.0
1422523800000,89.3,-9.2,183.0
1422525600000,92.0,-9.4,205.0
1422527400000,92.0,-9.5,235.0
1422529200000,92.0,-9.5,261.0
1422531000000,92.0,-9.3,259.0
1422532800000,92.0,-9.2,243.0
1422534600000,92.3,-9.1,230.0
1422536400000,93.0,-9.0,166.0
1422538200000,93.0,-8.9,144.0
1422540000000,93.0,-8.8,108.0
1422541800000,93.3,-8.8,67.0
1422543600000,94.0,-8.7,40.0
1422545400000,94.0,-8.8,17.0
1422547200000,89.3,-8.4,9.0
1422549000000,86.0,-8.1,8.0
1422550800000,85.7,-8.2,9.0
1422552600000,86.3,-8.5,8.0
1422554400000,85.3,-8.8,9.0
1422556200000,87.0,-9.5,8.0
1422558000000,82.0,-9.6,9.0
1422559800000,82.3,-9.7,8.0
1422561600000,88.0,-10.2,8.0
1422563400000,85.7,-9.9,8.0
1422565200000,92.3,-10.6,7.0
1422567000000,86.7,-10.2,8.0
1422568800000,86.0,-10.4,7.0
1422570600000,85.3,-10.6,7.0
1422572400000,82.3,-10.5,8.0
1422574200000,85.0,-10.7,8.0
1422576000000,86.0,-10.7,8.0
1422577800000,85.0,-10.4,8.0
1422579600000,86.3,-10.4,8.0
1422581400000,88.0,-10.5,8.0
1422583200000,89.0,-10.6,8.0
1422585000000,90.7,-10.9,8.0
1422586800000,88.0,-10.5,8.0
1422588600000,86.3,-10.7,9.0
1422590400000,85.7,-11.2,8.0
1422592200000,84.3,-13.0,7.0
1422594000000,67.0,-13.9,7.0
1422595800000,66.0,-14.6,7.0
1422597600000,65.0,-14.8,8.0
1422599400000,67.7,-15.1,16.0
1422601200000,68.7,-15.1,29.0
1422603000000,72.7,-15.0,76.0
1422604800000,74.7,-14.8,122.0
1422606600000,73.7,-14.2,188.0
1422608400000,76.3,-14.2,275.0
1422610200000,75.0,-13.9,329.0
1422612000000,73.7,-13.8,410.0
1422613800000,73.7,-13.7,443.0
1422615600000,72.7,-13.5,451.0
1422617400000,72.3,-13.4,306.0
1422619200000,72.7,-13.3,276.0
1422621000000,86.7,-13.8,234.0
1422622800000,77.3,-13.3,184.0
1422624600000,73.0,-13.3,154.0
1422626400000,65.3,-13.3,121.0
1422628200000,62.7,-13.1,99.0
1422630000000,87.0,-13.9,32.0
1422631800000,91.0,-14.1,15.0
1422633600000,91.0,-14.2,8.0
1422635400000,90.3,-14.2,8.0
1422637200000,89.0,-14.2,8.0
1422639000000,88.3,-14.1,8.0
1422640800000,87.3,-14.0,8.0
1422642600000,86.7,-14.0,8.0
1422644400000,87.7,-14.0,8.0
1422646200000,86.7,-13.8,8.0
1422648000000,87.0,-13.8,8.0
1422649800000,87.0,-13.7,8.0
1422651600000,87.0,-13.6,8.0
1422653400000,86.3,-13.5,8.0
1422655200000,86.7,-13.5,8.0
1422657000000,88.0,-13.4,8.0
1422658800000,87.3,-13.4,8.0
1422660600000,87.7,-13.3,8.0
1422662400000,87.0,-13.2,8.0
1422664200000,87.3,-13.2,8.0
1422666000000,88.7,-13.2,8.0
1422667800000,89.0,-13.2,8.0
1422669600000,91.0,-13.3,8.0
1422671400000,89.3,-13.3,8.0
1422673200000,91.7,-13.4,8.0
1422675000000,92.0,-13.4,8.0
1422676800000,92.0,-13.4,8.0
1422678600000,92.0,-13.5,8.0
1422680400000,92.0,-13.5,8.0
1422682200000,92.0,-13.5,8.0
1422684000000,92.0,-13.7,12.0
1422685800000,92.0,-13.6,37.0
1422687600000,91.0,-13.3,143.0
1422689400000,90.3,-13.4,206.0
1422691200000,90.0,-13.6,261.0
1422693000000,89.7,-13.6,329.0
1422694800000,87.7,-13.3,409.0
1422696600000,84.0,-13.3,253.0
1422698400000,71.0,-12.8,321.0
1422700200000,63.3,-12.2,475.0
1422702000000,57.7,-11.9,399.0
1422703800000,57.0,-11.8,387.0
1422705600000,52.7,-11.3,369.0
1422707400000,57.7,-11.8,356.0
1422709200000,56.7,-11.6,287.0
1422711000000,57.3,-11.7,210.0
1422712800000,57.7,-11.8,147.0
1422714600000,63.3,-12.1,98.0
1422716400000,74.7,-12.5,55.0
1422718200000,77.0,-12.4,22.0
1422720000000,80.7,-12.5,9.0
1422721800000,82.7,-12.5,8.0
1422723600000,85.0,-12.7,8.0
1422725400000,84.7,-12.7,8.0
1422727200000,84.7,-12.8,8.0
1422729000000,82.0,-13.0,8.0
1422730800000,84.3,-12.9,8.0
1422732600000,83.7,-12.8,8.0
1422734400000,82.0,-12.7,8.0
1422736200000,82.3,-12.7,8.0
1422738000000,83.0,-13.0,8.0
1422739800000,81.0,-13.3,8.0
1422741600000,82.0,-13.3,8.0
1422743400000,82.7,-13.4,8.0
1422745200000,84.0,-13.4,8.0
1422747000000,88.3,-13.5,8.0
1422748800000,90.7,-13.5,8.0
1422750600000,87.0,-13.6,8.0
1422752400000,90.7,-13.8,8.0
1422754200000,88.3,-13.8,8.0
1422756000000,90.0,-13.9,8.0
1422757800000,92.3,-14.0,8.0
1422759600000,92.3,-14.0,8.0
1422761400000,91.7,-13.9,8.0
1422763200000,91.0,-13.9,8.0
1422765000000,91.0,-14.2,8.0
1422766800000,91.0,-14.1,8.0
1422768600000,90.3,-13.9,8.0
1422770400000,89.3,-13.9,11.0
1422772200000,88.3,-13.8,28.0
1422774000000,90.7,-13.8,55.0
1422775800000,87.7,-13.5,111.0
1422777600000,85.3,-13.4,155.0
1422779400000,79.7,-13.0,193.0
1422781200000,77.3,-12.9,211.0
1422783000000,76.0,-12.9,260.0
1422784800000,68.7,-12.8,274.0
1422786600000,70.3,-13.2,271.0
1422788400000,77.3,-13.3,263.0
1422790200000,86.3,-13.8,273.0
1422792000000,86.3,-13.6,257.0
1422793800000,84.7,-13.4,181.0
1422795600000,82.7,-13.1,155.0
1422797400000,75.7,-12.7,132.0
1422799200000,76.0,-12.8,98.0
1422801000000,76.3,-12.9,59.0
1422802800000,78.3,-13.1,33.0
1422804600000,74.3,-12.9,17.0
1422806400000,75.3,-12.9,9.0
1422808200000,74.3,-12.9,7.0
1422810000000,71.0,-12.9,8.0
1422811800000,71.7,-13.0,8.0
1422813600000,70.0,-12.9,7.0
1422815400000,64.0,-12.8,6.0
1422817200000,68.3,-13.2,6.0
1422819000000,72.7,-13.3,6.0
1422820800000,78.7,-13.6,8.0
1422822600000,71.3,-13.4,9.0
1422824400000,72.7,-13.5,8.0
1422826200000,84.3,-13.9,8.0
1422828000000,88.3,-14.3,8.0
1422829800000,90.7,-14.3,8.0
1422831600000,91.0,-14.5,8.0
1422833400000,91.0,-14.6,8.0
1422835200000,91.0,-14.6,8.0
1422837000000,91.0,-14.5,8.0
1422838800000,91.0,-14.4,8.0
1422840600000,90.7,-14.4,8.0
1422842400000,90.0,-14.4,8.0
1422844200000,88.3,-14.0,8.0
1422846000000,87.0,-13.6,8.0
1422847800000,86.7,-13.4,7.0
1422849600000,85.3,-13.1,7.0
1422851400000,87.0,-13.1,6.0
1422853200000,90.0,-13.4,5.0
1422855000000,82.0,-13.1,6.0
1422856800000,85.3,-13.4,9.0
1422858600000,88.3,-13.5,22.0
1422860400000,88.3,-13.4,59.0
1422862200000,91.3,-13.6,103.0
1422864000000,91.0,-13.4,169.0
1422865800000,90.0,-13.1,220.0
1422867600000,90.0,-13.3,243.0
1422869400000,90.7,-12.9,263.0
1422871200000,90.0,-13.1,295.0
1422873000000,91.0,-12.4,289.0
1422874800000,90.3,-12.3,315.0
1422876600000,90.0,-12.9,349.0
1422878400000,89.7,-12.9,391.0
1422880200000,90.0,-13.1,259.0
1422882000000,90.7,-13.3,239.0
1422883800000,90.3,-13.4,242.0
1422885600000,91.0,-13.6,136.0
1422887400000,91.0,-13.8,96.0
1422889200000,91.0,-14.1,50.0
1422891000000,91.0,-14.1,19.0
1422892800000,92.0,-13.9,9.0
1422894600000,91.7,-14.0,8.0
1422896400000,91.3,-14.0,8.0
1422898200000,91.3,-14.1,8.0
1422900000000,91.0,-14.2,8.0
1422901800000,91.0,-14.1,8.0
1422903600000,91.0,-14.2,8.0
1422905400000,91.0,-14.8,8.0
1422907200000,91.0,-15.5,8.0
1422909000000,91.0,-15.1,8.0
1422910800000,91.0,-15.1,8.0
1422912600000,91.0,-15.4,8.0
1422914400000,91.0,-15.5,8.0
1422916200000,90.7,-16.0,8.0
1422918000000,90.3,-15.3,8.0
1422919800000,89.7,-14.6,8.0
1422921600000,90.0,-14.7,8.0
1422923400000,90.0,-14.4,8.0
1422925200000,89.3,-14.5,8.0
1422927000000,86.7,-14.4,8.0
1422928800000,83.3,-14.3,8.0
1422930600000,80.0,-14.0,8.0
1422932400000,79.3,-14.0,8.0
1422934200000,79.0,-13.9,8.0
1422936000000,77.7,-13.8,8.0
1422937800000,76.0,-13.7,8.0
1422939600000,76.7,-13.7,7.0
1422941400000,78.0,-13.8,8.0
1422943200000,77.0,-13.7,11.0
1422945000000,76.0,-13.6,30.0
1422946800000,74.7,-13.4,74.0
1422948600000,73.0,-13.1,157.0
1422950400000,73.3,-12.9,254.0
1422952200000,72.7,-12.8,254.0
1422954000000,73.0,-12.5,315.0
1422955800000,73.0,-12.3,346.0
1422957600000,73.3,-12.1,418.0
