"SENSORTYPE_ARGS","PHYSICAL_SIGNAL","VALUE","COMMENT"

"0","sr_ref1","0.0",
"0","sr_ref2","0.0",
"0","sr_t1","0.0",
"0","sr_t2","0.0",
"0","sr_t3","0.0",
"0","sr_t4","0.0",
"0","sr_ref3","0.0",
"0","sr_ref4","0.0",
"0","sr_ref5","0.0",
"0","sr_ref6","0.0",

"0","tc_ref1","0.0",
"0","tc_ref2","0.0",
"0","tc_t1","0.0",
"0","tc_t2","0.0",
"0","tc_t3","0.0",
"0","tc_t4","0.0",
"0","tc_ref3","0.0",
"0","tc_ref4","0.0",
"0","tc_t5","0.0",
"0","tc_t6","0.0",
"0","tc_t7","0.0",
"0","tc_t8","0.0",
