"POSITION","BEGIN","END","SENSORTYPE","SENSORTYPE_ARGS","COMMENT"
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","1234",
"7","1970-01-01 00:00:00","9999-01-01 00:00:00","adccomdiff_crt","1",
"3","2009-12-02 13:55:00+01:00","9999-01-01 00:00:00","adcmux_tc","2",
"3","2009-12-02 13:55:00+01:00","9999-01-01 00:00:00","adccomdiff_crt","1",
"8","1970-01-01 00:00:00","9999-01-01 00:00:00","serialid","12345678",
"8","2009-12-02 13:55:00+01:00","9999-01-01 00:00:00","adcmux_tc","2",
"8","2009-12-02 13:55:00+01:00","9999-01-01 00:00:00","adccomdiff_crt","1",
