"DEVICE_ID","BEGIN","END","POSITION","COMMENT"
"6010","2012-01-26 12:00:00+01:00","9999-01-01 00:00:00","60","Randa CamZilla Mobotix"
# position 61
"6011","2012-01-26 12:00:00+01:00","9999-01-01 00:00:00","61","Randa CamZilla Ubiquiti"


################################################################################################
# GPS logger mapping
################################################################################################
# position 14
"1030","2010-12-16 00:00:00+01:00","2011-03-08 00:00:00+01:00","14","GPS Reference @ position 0"
"1031","2011-03-09 00:00:00+01:00","2011-05-02 00:00:00+02:00","14","GPS Reference @ position 0"
"1034","2011-05-03 00:00:00+02:00","2011-07-01 00:00:00+02:00","14","GPS Reference @ position 0"
"1035","2011-07-01 00:00:00+02:00","2011-08-11 00:00:00+02:00","14","GPS Reference @ position 0"
"1030","2011-08-11 00:00:00+02:00","9999-01-01 00:00:00","14","GPS Reference @ position 0"
# position 15
"1017","2010-12-16 00:00:00+01:00","2011-03-08 00:00:00+01:00","15","GPS Logger @ position 2"
"1025","2011-03-09 00:00:00+01:00","2011-05-02 00:00:00+02:00","15","GPS Logger @ position 2"
"1005","2011-05-03 00:00:00+02:00","2011-08-11 00:00:00+02:00","15","GPS Logger @ position 2"
"1028","2011-08-12 00:00:00+02:00","9999-01-01 00:00:00","15","GPS Logger @ position 2"
# position 16
"1018","2011-03-09 00:00:00+01:00","2011-05-02 00:00:00+02:00","16","GPS Logger @ position 5"
"1007","2011-05-03 00:00:00+02:00","2011-07-01 00:00:00+02:00","16","GPS Logger @ position 5"
"1027","2011-07-02 00:00:00+02:00","2011-08-11 00:00:00+02:00","16","GPS Logger @ position 5"
"1010","2011-08-12 00:00:00+02:00","9999-01-01 00:00:00","16","GPS Logger @ position 5"
# position 17
"1009","2010-12-16 00:00:00+01:00","2011-03-08 00:00:00+01:00","17","GPS Logger @ position 7"
"1020","2011-03-09 00:00:00+01:00","2011-05-02 00:00:00+02:00","17","GPS Logger @ position 7"
"1006","2011-05-03 00:00:00+02:00","2011-08-11 00:00:00+02:00","17","GPS Logger @ position 7"
"1015","2011-08-11 00:00:00+02:00","9999-01-01 00:00:00","17","GPS Logger @ position 7"
# position 18
