"POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"0","8.552925","47.377305","527",
"1","8.552925","47.377305","527",
"2","8.552925","47.377305","527",
"3","8.552925","47.377305","527",
"4","8.552925","47.377305","527",
"5","8.552925","47.377305","527",
"6","8.552925","47.377305","527",
"7","8.552925","47.377305","527",
"8","8.552925","47.377305","527",
"9","8.552925","47.377305","527",
"10","8.552925","47.377305","527",
"11","8.552925","47.377305","527",
"12","8.552925","47.377305","527",
"13","8.552925","47.377305","527",
"14","8.552925","47.377305","527",
"15","8.552925","47.377305","527",
"16","8.552925","47.377305","527",
"17","8.552925","47.377305","527",
"18","8.552925","47.377305","527",
"19","8.552925","47.377305","527",
"20","8.552925","47.377305","527",
"21","8.552925","47.377305","527",
"22","8.552925","47.377305","527",
"23","8.552925","47.377305","527",
"24","8.552925","47.377305","527",
"25","8.552925","47.377305","527",
"26","8.552925","47.377305","527",
"27","8.552925","47.377305","527",
"28","8.552925","47.377305","527",
"29","8.552925","47.377305","527",
"30","8.552925","47.377305","527",
"31","8.552925","47.377305","527",
"32","8.552925","47.377305","527",
"33","8.552925","47.377305","527",
"34","8.552925","47.377305","527",
"35","8.552925","47.377305","527",
"36","8.552925","47.377305","527",
"37","8.552925","47.377305","527",
"38","8.552925","47.377305","527",
"39","8.552925","47.377305","527",
"40","8.552925","47.377305","527",
"41","8.552925","47.377305","527",
"42","8.552925","47.377305","527",
"43","8.552925","47.377305","527",
"44","8.552925","47.377305","527",
"45","8.552925","47.377305","527",
"46","8.552925","47.377305","527",
"47","8.552925","47.377305","527",
"48","8.552925","47.377305","527",
"49","8.552925","47.377305","527",
"50","8.552925","47.377305","527",
"51","8.552925","47.377305","527",
"52","8.552925","47.377305","527",
"53","8.552925","47.377305","527",
"54","8.552925","47.377305","527",
"55","8.552925","47.377305","527",
"56","8.552925","47.377305","527",
"57","8.552925","47.377305","527",
"58","8.552925","47.377305","527",
"59","8.552925","47.377305","527",
"60","8.552925","47.377305","527",
"61","8.552925","47.377305","527",
"62","8.552925","47.377305","527",
"63","8.552925","47.377305","527",
"64","8.552925","47.377305","527",
"65","8.552925","47.377305","527",
"66","8.552925","47.377305","527",
"67","8.552925","47.377305","527",
"68","8.552925","47.377305","527",
"69","8.552925","47.377305","527",
"70","8.552925","47.377305","527",
"71","8.552925","47.377305","527",
"72","8.552925","47.377305","527",
"73","8.552925","47.377305","527",
"74","8.552925","47.377305","527",
"75","8.552925","47.377305","527",
"76","8.552925","47.377305","527",
"77","8.552925","47.377305","527",
"78","8.552925","47.377305","527",
"79","8.552925","47.377305","527",
"80","8.552925","47.377305","527",
"81","8.552925","47.377305","527",
"82","8.552925","47.377305","527",
"83","8.552925","47.377305","527",
"84","8.552925","47.377305","527",
"85","8.552925","47.377305","527",
"86","8.552925","47.377305","527",
"87","8.552925","47.377305","527",
"88","8.552925","47.377305","527",
"89","8.552925","47.377305","527",
"90","8.552925","47.377305","527",
"91","8.552925","47.377305","527",
"92","8.552925","47.377305","527",
"93","8.552925","47.377305","527",
"94","8.552925","47.377305","527",
"95","8.552925","47.377305","527",
"96","8.552925","47.377305","527",
"97","8.552925","47.377305","527",
"98","8.552925","47.377305","527",
"99","8.552925","47.377305","527",
"100","8.552925","47.377305","527",
"101","8.552925","47.377305","527",
"102","8.552925","47.377305","527",
"103","8.552925","47.377305","527",
"104","8.552925","47.377305","527",
"105","8.552925","47.377305","527",
"106","8.552925","47.377305","527",
"107","8.552925","47.377305","527",
"108","8.552925","47.377305","527",
"109","8.552925","47.377305","527",
"110","8.552925","47.377305","527",
"111","8.552925","47.377305","527",
"112","8.552925","47.377305","527",
"113","8.552925","47.377305","527",
"114","8.552925","47.377305","527",
"115","8.552925","47.377305","527",
"116","8.552925","47.377305","527",
"117","8.552925","47.377305","527",
"118","8.552925","47.377305","527",
"119","8.552925","47.377305","527",
"120","8.552925","47.377305","527",
"121","8.552925","47.377305","527",
"122","8.552925","47.377305","527",
"123","8.552925","47.377305","527",
"124","8.552925","47.377305","527",
"125","8.552925","47.377305","527",
"126","8.552925","47.377305","527",
"127","8.552925","47.377305","527",
"128","8.552925","47.377305","527",
"129","8.552925","47.377305","527",
"130","8.552925","47.377305","527",
"131","8.552925","47.377305","527",
"132","8.552925","47.377305","527",
"133","8.552925","47.377305","527",
"134","8.552925","47.377305","527",
"135","8.552925","47.377305","527",
"136","8.552925","47.377305","527",
"137","8.552925","47.377305","527",
"138","8.552925","47.377305","527",
"139","8.552925","47.377305","527",
"140","8.552925","47.377305","527",
"141","8.552925","47.377305","527",
"142","8.552925","47.377305","527",
"143","8.552925","47.377305","527",
"144","8.552925","47.377305","527",
"145","8.552925","47.377305","527",
"146","8.552925","47.377305","527",
"147","8.552925","47.377305","527",
"148","8.552925","47.377305","527",
"149","8.552925","47.377305","527",
"150","8.552925","47.377305","527",
"151","8.552925","47.377305","527",
"152","8.552925","47.377305","527",
"153","8.552925","47.377305","527",
"154","8.552925","47.377305","527",
"155","8.552925","47.377305","527",
"156","8.552925","47.377305","527",
"157","8.552925","47.377305","527",
"158","8.552925","47.377305","527",
"159","8.552925","47.377305","527",
"160","8.552925","47.377305","527",
"161","8.552925","47.377305","527",
"162","8.552925","47.377305","527",
"163","8.552925","47.377305","527",
"164","8.552925","47.377305","527",
"165","8.552925","47.377305","527",
"166","8.552925","47.377305","527",
"167","8.552925","47.377305","527",
"168","8.552925","47.377305","527",
"169","8.552925","47.377305","527",
"170","8.552925","47.377305","527",
"171","8.552925","47.377305","527",
"172","8.552925","47.377305","527",
"173","8.552925","47.377305","527",
"174","8.552925","47.377305","527",
"175","8.552925","47.377305","527",
"176","8.552925","47.377305","527",
"177","8.552925","47.377305","527",
"178","8.552925","47.377305","527",
"179","8.552925","47.377305","527",
"180","8.552925","47.377305","527",
"181","8.552925","47.377305","527",
"182","8.552925","47.377305","527",
"183","8.552925","47.377305","527",
"184","8.552925","47.377305","527",
"185","8.552925","47.377305","527",
"186","8.552925","47.377305","527",
"187","8.552925","47.377305","527",
"188","8.552925","47.377305","527",
"189","8.552925","47.377305","527",
"190","8.552925","47.377305","527",
"191","8.552925","47.377305","527",
"192","8.552925","47.377305","527",
"193","8.552925","47.377305","527",
"194","8.552925","47.377305","527",
"195","8.552925","47.377305","527",
"196","8.552925","47.377305","527",
"197","8.552925","47.377305","527",
"198","8.552925","47.377305","527",
"199","8.552925","47.377305","527",
"200","8.552925","47.377305","527",
"201","8.552925","47.377305","527",
"202","8.552925","47.377305","527",
"203","8.552925","47.377305","527",
"204","8.552925","47.377305","527",
"205","8.552925","47.377305","527",
"206","8.552925","47.377305","527",
"207","8.552925","47.377305","527",
"208","8.552925","47.377305","527",
"209","8.552925","47.377305","527",
"210","8.552925","47.377305","527",
"211","8.552925","47.377305","527",
"212","8.552925","47.377305","527",
"213","8.552925","47.377305","527",
"214","8.552925","47.377305","527",
"215","8.552925","47.377305","527",
"216","8.552925","47.377305","527",
"217","8.552925","47.377305","527",
"218","8.552925","47.377305","527",
"219","8.552925","47.377305","527",
"220","8.552925","47.377305","527",
"221","8.552925","47.377305","527",
"222","8.552925","47.377305","527",
"223","8.552925","47.377305","527",
"224","8.552925","47.377305","527",
"225","8.552925","47.377305","527",
"226","8.552925","47.377305","527",
"227","8.552925","47.377305","527",
"228","8.552925","47.377305","527",
"229","8.552925","47.377305","527",
"230","8.552925","47.377305","527",
"231","8.552925","47.377305","527",
"232","8.552925","47.377305","527",
"233","8.552925","47.377305","527",
"234","8.552925","47.377305","527",
"235","8.552925","47.377305","527",
"236","8.552925","47.377305","527",
"237","8.552925","47.377305","527",
"238","8.552925","47.377305","527",
"239","8.552925","47.377305","527",
"240","8.552925","47.377305","527",
"241","8.552925","47.377305","527",
"242","8.552925","47.377305","527",
"243","8.552925","47.377305","527",
"244","8.552925","47.377305","527",
"245","8.552925","47.377305","527",
"246","8.552925","47.377305","527",
"247","8.552925","47.377305","527",
"248","8.552925","47.377305","527",
"249","8.552925","47.377305","527",
"250","8.552925","47.377305","527",
"251","8.552925","47.377305","527",
