"POSITION","LONGITUDE","LATITUDE","ALTITUDE","COMMENT"
"0","7.821387","46.123509","2748.25840116",
"1","7.8180858173721","46.1247898712586","2703.2584544",
"2","7.82043860558989","46.1208328657352","2823.26607496",
"3","7.77003263096736","46.1155947578432","2458.32872336",
"4","7.81995187310626","46.1215271728136","2771.26481048",
"5","7.81969465541728","46.1217439360113","2757.26451912",
"6","7.81932691902664","46.1209535633602","2764.26686424",
"7","7.81839714684867","46.1211905810345","2724.2671828",
"8","7.769965","46.115571","2458.32872336",
"9","7.81948943207038","46.1219965056378","2707.2640868",
"10","7.821298","46.123493","2748.25840116",
"11","7.821321","46.123545","2748.25840116",
"12","7.821136","46.123169","2741.25925932",
"13","7.821205","46.123544","2741.2595938",
"14","7.82124693509904","46.1235737895189","2748.25840116",
"15","7.82043860558989","46.1208328657352","2823.26607496",
"16","7.81969465541728","46.1217439360113","2757.26451912",
"17","7.81839714684867","46.1211905810345","2724.2671828",
"18","7.82103812014466","46.1233136243964","2741.25925932",
"19","7.82108879536766","46.1231605273487","2741.2595938",
"20","7.814389","46.127096","2673",
"21","7.819938","46.134355","2794",
"22","7.819938","46.134355","2794",
"23","7.819738","46.133447","2792",
"24","7.819738","46.133447","2792",
"25","7.824136","46.142464","2973",
"26","7.824136","46.142464","2973",
"27","7.828926","46.142771","3149",
"28","7.828926","46.142771","3149",
"29","7.828833","46.127821","2991",
"30","7.828833","46.127821","2991",
"31","7.829887","46.128672","3020",
"32","7.829887","46.128672","3020",
"33","7.823144","46.13214","2957",
"34","7.823144","46.13214","2957",
"35","7.823711","46.131751","2987",
"36","7.823711","46.131751","2987",
"37","7.821997","46.13639","2903",
"38","7.769993","46.115536","2407",
"39","7.813324","46.090268","2824",
"40","7.812745","46.091164","2882",
"41","7.811933","46.091509","2868",
"42","7.813478","46.090290","2827",
"43","7.812745","46.091164","2882",
"44","7.811933","46.091509","2868",
"45","7.817237","46.138646","2650",
"46","7.820332","46.137025","2858",
"47","7.826181","46.131518","3119",
"55","7.817237","46.138646","2650",
"56","7.820332","46.137025","2858",
"57","7.826181","46.131518","3119",
"58","7.813398","46.09019","2824",
"59","7.769977","46.115446","2400",
"62","7.82167","46.14191","2870",
"63","7.81829","46.13888","2704",
"64","7.81470","46.13528","2610",
"65","7.811965","46.091387","2900",

